 El-array Spa.1 Spa.2 Spa.3 Spa.4 Rho  Dev.  M   Sp   Vp   In  
 Schlum. VES 16.00 41.00 28.00 29.00 22.73 0.0 0.00 -56.0 3.522 75.948
 Schlum. VES 16.00 39.00 27.00 28.00 21.24 0.0 0.00 -56.0 23.467 458.229
 Schlum. VES 16.00 37.00 26.00 27.00 21.23 0.0 0.00 -56.0 11.635 189.430
 Schlum. VES 16.00 35.00 25.00 26.00 21.73 0.0 0.00 -56.0 18.546 241.299
 Schlum. VES 16.00 33.00 24.00 25.00 21.37 0.0 0.00 -56.0 82.270 870.851
 Schlum. VES 16.00 31.00 23.00 24.00 21.03 0.0 0.00 -56.0 19.519 163.295
 Schlum. VES 16.00 29.00 22.00 23.00 21.32 0.0 0.00 -56.0 19.054 117.936
 Schlum. VES 16.00 27.00 21.00 22.00 20.32 0.0 0.00 -56.0 17.096 79.309
 Schlum. VES 16.00 25.00 20.00 21.00 19.29 0.0 0.00 -56.0 14.935 48.634
 Schlum. VES 16.00 23.00 19.00 20.00 19.71 0.0 0.00 -56.0 8.507 16.273
 Schlum. VES 16.00 21.00 18.00 19.00 19.60 0.0 0.00 -56.0 7.426 7.141
 Schlum. VES 16.00 19.00 17.00 18.00 20.08 0.0 0.00 -56.0 22.310 6.982
 Schlum. VES 17.00 42.00 29.00 30.00 22.54 0.0 0.00 -56.0 5.029 109.334
 Schlum. VES 17.00 40.00 28.00 29.00 22.38 0.0 0.00 -56.0 10.020 185.690
 Schlum. VES 17.00 38.00 27.00 28.00 21.02 0.0 0.00 -56.0 3.510 57.704
 Schlum. VES 17.00 36.00 26.00 27.00 20.94 0.0 0.00 -56.0 5.817 78.534
 Schlum. VES 17.00 34.00 25.00 26.00 21.36 0.0 0.00 -56.0 14.229 150.676
 Schlum. VES 17.00 32.00 24.00 25.00 21.03 0.0 0.00 -56.0 11.597 97.000
 Schlum. VES 17.00 30.00 23.00 24.00 20.66 0.0 0.00 -56.0 74.221 474.115
 Schlum. VES 17.00 28.00 22.00 23.00 20.90 0.0 0.00 -56.0 9.785 44.127
 Schlum. VES 17.00 26.00 21.00 22.00 19.84 0.0 0.00 -56.0 24.471 77.502
 Schlum. VES 17.00 24.00 20.00 21.00 18.89 0.0 0.00 -56.0 12.932 25.805
 Schlum. VES 17.00 22.00 19.00 20.00 19.36 0.0 0.00 -56.0 6.625 6.452
 Schlum. VES 17.00 20.00 18.00 19.00 19.40 0.0 0.00 -56.0 19.652 6.364
 Schlum. VES 18.00 43.00 30.00 31.00 22.75 0.0 0.00 -56.0 24.630 530.511
 Schlum. VES 18.00 41.00 29.00 30.00 22.32 0.0 0.00 -56.0 2.206 40.987
 Schlum. VES 18.00 39.00 28.00 29.00 22.12 0.0 0.00 -56.0 21.661 338.382
 Schlum. VES 18.00 37.00 27.00 28.00 20.77 0.0 0.00 -56.0 4.584 62.402
 Schlum. VES 18.00 35.00 26.00 27.00 20.75 0.0 0.00 -56.0 12.875 140.341
 Schlum. VES 18.00 33.00 25.00 26.00 21.12 0.0 0.00 -56.0 34.409 286.602
 Schlum. VES 18.00 31.00 24.00 25.00 20.72 0.0 0.00 -56.0 147.674 940.268
 Schlum. VES 18.00 29.00 23.00 24.00 20.34 0.0 0.00 -56.0 21.159 98.052
 Schlum. VES 18.00 27.00 22.00 23.00 20.48 0.0 0.00 -56.0 14.051 43.103
 Schlum. VES 18.00 25.00 21.00 22.00 19.72 0.0 0.00 -56.0 13.180 25.191
 Schlum. VES 18.00 23.00 20.00 21.00 18.75 0.0 0.00 -56.0 6.593 6.630
 Schlum. VES 18.00 21.00 19.00 20.00 19.75 0.0 0.00 -56.0 20.701 6.585
 Schlum. VES 19.00 42.00 30.00 31.00 22.75 0.0 0.00 -56.0 5.500 100.250
 Schlum. VES 19.00 40.00 29.00 30.00 21.98 0.0 0.00 -56.0 5.379 84.550
 Schlum. VES 19.00 38.00 28.00 29.00 21.83 0.0 0.00 -56.0 7.954 103.005
 Schlum. VES 19.00 36.00 27.00 28.00 20.48 0.0 0.00 -56.0 7.140 78.840
 Schlum. VES 19.00 34.00 26.00 27.00 20.39 0.0 0.00 -56.0 7.814 67.422
 Schlum. VES 19.00 32.00 25.00 26.00 20.78 0.0 0.00 -56.0 84.566 536.974
 Schlum. VES 19.00 30.00 24.00 25.00 20.35 0.0 0.00 -56.0 93.568 433.425
 Schlum. VES 19.00 28.00 23.00 24.00 19.95 0.0 0.00 -56.0 39.832 125.467
 Schlum. VES 19.00 26.00 22.00 23.00 20.05 0.0 0.00 -56.0 12.252 23.033
 Schlum. VES 19.00 24.00 21.00 22.00 19.42 0.0 0.00 -56.0 7.483 7.264
 Schlum. VES 19.00 22.00 20.00 21.00 18.73 0.0 0.00 -56.0 19.614 6.580
 Schlum. VES 20.00 43.00 31.00 32.00 22.49 0.0 0.00 -56.0 37.352 688.788
 Schlum. VES 20.00 41.00 30.00 31.00 22.50 0.0 0.00 -56.0 2.098 32.226
 Schlum. VES 20.00 39.00 29.00 30.00 21.67 0.0 0.00 -56.0 51.575 672.989
 Schlum. VES 20.00 37.00 28.00 29.00 21.52 0.0 0.00 -56.0 4.152 43.639
 Schlum. VES 20.00 35.00 27.00 28.00 20.16 0.0 0.00 -56.0 112.947 985.887
 Schlum. VES 20.00 33.00 26.00 27.00 20.03 0.0 0.00 -56.0 3.777 24.880
 Schlum. VES 20.00 31.00 25.00 26.00 20.37 0.0 0.00 -56.0 47.728 220.825
 Schlum. VES 20.00 29.00 24.00 25.00 19.87 0.0 0.00 -56.0 16.206 51.251
 Schlum. VES 20.00 27.00 23.00 24.00 19.40 0.0 0.00 -56.0 12.735 24.751
 Schlum. VES 20.00 25.00 22.00 23.00 19.64 0.0 0.00 -56.0 7.216 6.927
 Schlum. VES 20.00 23.00 21.00 22.00 19.53 0.0 0.00 -56.0 20.892 6.722
 Schlum. VES 21.00 42.00 31.00 32.00 22.36 0.0 0.00 -56.0 14.013 216.594
 Schlum. VES 21.00 40.00 30.00 31.00 21.99 0.0 0.00 -56.0 23.562 302.988
 Schlum. VES 21.00 38.00 29.00 30.00 21.24 0.0 0.00 -56.0 4.711 50.178
 Schlum. VES 21.00 36.00 28.00 29.00 21.06 0.0 0.00 -56.0 10.910 91.156
 Schlum. VES 21.00 34.00 27.00 28.00 19.59 0.0 0.00 -56.0 35.235 237.278
 Schlum. VES 21.00 32.00 26.00 27.00 19.50 0.0 0.00 -56.0 12.061 58.279
 Schlum. VES 21.00 30.00 25.00 26.00 19.73 0.0 0.00 -56.0 38.942 123.997
 Schlum. VES 21.00 28.00 24.00 25.00 19.10 0.0 0.00 -56.0 8.138 16.065
 Schlum. VES 21.00 26.00 23.00 24.00 18.57 0.0 0.00 -56.0 10.185 10.336
 Schlum. VES 21.00 24.00 22.00 23.00 19.14 0.0 0.00 -56.0 22.411 7.356
 Schlum. VES 22.00 43.00 32.00 33.00 22.34 0.0 0.00 -56.0 54.410 841.765
 Schlum. VES 22.00 41.00 31.00 32.00 22.03 0.0 0.00 -56.0 4.648 59.662
 Schlum. VES 22.00 39.00 30.00 31.00 21.57 0.0 0.00 -56.0 91.852 963.049
 Schlum. VES 22.00 37.00 29.00 30.00 20.76 0.0 0.00 -56.0 1.799 15.249
 Schlum. VES 22.00 35.00 28.00 29.00 20.65 0.0 0.00 -56.0 12.175 77.785
 Schlum. VES 22.00 33.00 27.00 28.00 19.19 0.0 0.00 -56.0 171.064 840.201
 Schlum. VES 22.00 31.00 26.00 27.00 18.99 0.0 0.00 -56.0 45.045 149.026
 Schlum. VES 22.00 29.00 25.00 26.00 19.18 0.0 0.00 -56.0 30.632 60.196
 Schlum. VES 22.00 27.00 24.00 25.00 18.49 0.0 0.00 -56.0 6.619 6.749
 Schlum. VES 22.00 25.00 23.00 24.00 18.71 0.0 0.00 -56.0 20.491 6.881
 Schlum. VES 23.00 42.00 32.00 33.00 22.28 0.0 0.00 -56.0 7.324 92.929
 Schlum. VES 23.00 40.00 31.00 32.00 21.61 0.0 0.00 -56.0 14.248 149.142
 Schlum. VES 23.00 38.00 30.00 31.00 21.19 0.0 0.00 -56.0 13.892 115.312
 Schlum. VES 23.00 36.00 29.00 30.00 20.48 0.0 0.00 -56.0 24.700 159.126
 Schlum. VES 23.00 34.00 28.00 29.00 20.14 0.0 0.00 -56.0 12.627 59.080
 Schlum. VES 23.00 32.00 27.00 28.00 18.73 0.0 0.00 -56.0 48.917 164.074
 Schlum. VES 23.00 30.00 26.00 27.00 18.49 0.0 0.00 -56.0 8.348 17.018
 Schlum. VES 23.00 28.00 25.00 26.00 18.62 0.0 0.00 -56.0 7.102 7.188
 Schlum. VES 23.00 26.00 24.00 25.00 18.20 0.0 0.00 -56.0 13.402 4.627
 Schlum. VES 24.00 43.00 33.00 34.00 22.19 0.0 0.00 -56.0 10.255 130.658
 Schlum. VES 24.00 41.00 32.00 33.00 21.85 0.0 0.00 -56.0 79.702 825.184
 Schlum. VES 24.00 39.00 31.00 32.00 21.09 0.0 0.00 -56.0 5.906 49.275
 Schlum. VES 24.00 37.00 30.00 31.00 20.64 0.0 0.00 -56.0 17.503 111.911
 Schlum. VES 24.00 35.00 29.00 30.00 19.89 0.0 0.00 -56.0 206.617 979.101
 Schlum. VES 24.00 33.00 28.00 29.00 19.48 0.0 0.00 -56.0 17.827 57.511
 Schlum. VES 24.00 31.00 27.00 28.00 17.98 0.0 0.00 -56.0 22.335 46.819
 Schlum. VES 24.00 29.00 26.00 27.00 17.60 0.0 0.00 -56.0 6.688 7.164
 Schlum. VES 24.00 27.00 25.00 26.00 18.12 0.0 0.00 -56.0 21.235 7.362
 Schlum. VES 25.00 42.00 33.00 34.00 21.99 0.0 0.00 -56.0 18.756 192.891
 Schlum. VES 25.00 40.00 32.00 33.00 21.23 0.0 0.00 -56.0 29.882 247.619
 Schlum. VES 25.00 38.00 31.00 32.00 20.50 0.0 0.00 -56.0 38.872 250.157
 Schlum. VES 25.00 36.00 30.00 31.00 20.09 0.0 0.00 -56.0 20.345 95.447
 Schlum. VES 25.00 34.00 29.00 30.00 19.06 0.0 0.00 -56.0 60.889 200.673
 Schlum. VES 25.00 32.00 28.00 29.00 18.57 0.0 0.00 -56.0 8.691 17.643
 Schlum. VES 25.00 30.00 27.00 28.00 17.02 0.0 0.00 -56.0 7.153 7.923
 Schlum. VES 25.00 28.00 26.00 27.00 17.00 0.0 0.00 -56.0 20.345 7.518
 Schlum. VES 26.00 43.00 34.00 35.00 21.16 0.0 0.00 -56.0 27.955 298.799
 Schlum. VES 26.00 41.00 33.00 34.00 21.47 0.0 0.00 -56.0 19.366 158.654
 Schlum. VES 26.00 39.00 32.00 33.00 20.61 0.0 0.00 -56.0 119.267 763.612
 Schlum. VES 26.00 37.00 31.00 32.00 19.84 0.0 0.00 -56.0 14.470 68.725
 Schlum. VES 26.00 35.00 30.00 31.00 19.33 0.0 0.00 -56.0 19.703 64.049
 Schlum. VES 26.00 33.00 29.00 30.00 18.24 0.0 0.00 -56.0 39.584 81.827
 Schlum. VES 26.00 31.00 28.00 29.00 17.59 0.0 0.00 -56.0 10.109 10.835
 Schlum. VES 26.00 29.00 27.00 28.00 16.66 0.0 0.00 -56.0 11.711 4.417
 Schlum. VES 27.00 42.00 34.00 35.00 20.86 0.0 0.00 -56.0 20.905 176.289
 Schlum. VES 27.00 40.00 33.00 34.00 20.69 0.0 0.00 -56.0 58.231 371.344
 Schlum. VES 27.00 38.00 32.00 33.00 19.84 0.0 0.00 -56.0 57.380 272.564
 Schlum. VES 27.00 36.00 31.00 32.00 19.04 0.0 0.00 -56.0 95.514 315.214
 Schlum. VES 27.00 34.00 30.00 31.00 18.15 0.0 0.00 -56.0 18.698 38.838
 Schlum. VES 27.00 32.00 29.00 30.00 16.92 0.0 0.00 -56.0 6.955 7.747
 Schlum. VES 27.00 30.00 28.00 29.00 16.97 0.0 0.00 -56.0 21.083 7.807
 Schlum. VES 28.00 43.00 35.00 36.00 21.29 0.0 0.00 -56.0 12.983 107.266
 Schlum. VES 28.00 41.00 34.00 35.00 20.16 0.0 0.00 -56.0 131.741 862.455
 Schlum. VES 28.00 39.00 33.00 34.00 19.84 0.0 0.00 -56.0 14.674 69.690
 Schlum. VES 28.00 37.00 32.00 33.00 18.90 0.0 0.00 -56.0 13.898 46.204
 Schlum. VES 28.00 35.00 31.00 32.00 17.90 0.0 0.00 -56.0 13.517 28.475
 Schlum. VES 28.00 33.00 30.00 31.00 16.86 0.0 0.00 -56.0 6.288 7.032
 Schlum. VES 28.00 31.00 29.00 30.00 16.08 0.0 0.00 -56.0 17.821 6.965
 Schlum. VES 29.00 42.00 35.00 36.00 21.09 0.0 0.00 -56.0 23.874 149.397
 Schlum. VES 29.00 40.00 34.00 35.00 19.41 0.0 0.00 -56.0 38.681 187.830
 Schlum. VES 29.00 38.00 33.00 34.00 19.10 0.0 0.00 -56.0 20.574 67.667
 Schlum. VES 29.00 36.00 32.00 33.00 18.08 0.0 0.00 -56.0 11.641 24.279
 Schlum. VES 29.00 34.00 31.00 32.00 16.71 0.0 0.00 -56.0 6.491 7.323
 Schlum. VES 29.00 32.00 30.00 31.00 16.35 0.0 0.00 -56.0 18.889 7.259
 Schlum. VES 30.00 43.00 36.00 37.00 21.45 0.0 0.00 -56.0 16.448 101.182
 Schlum. VES 30.00 41.00 35.00 36.00 20.32 0.0 0.00 -56.0 16.937 78.540
 Schlum. VES 30.00 39.00 34.00 35.00 18.53 0.0 0.00 -56.0 21.305 72.258
 Schlum. VES 30.00 37.00 33.00 34.00 17.99 0.0 0.00 -56.0 8.024 16.810
 Schlum. VES 30.00 35.00 32.00 33.00 16.71 0.0 0.00 -56.0 7.159 8.078
 Schlum. VES 30.00 33.00 31.00 32.00 16.06 0.0 0.00 -56.0 18.991 7.429
 Schlum. VES 31.00 42.00 36.00 37.00 21.08 0.0 0.00 -56.0 12.023 53.762
 Schlum. VES 31.00 40.00 35.00 36.00 19.32 0.0 0.00 -56.0 17.363 56.474
 Schlum. VES 31.00 38.00 34.00 35.00 17.52 0.0 0.00 -56.0 14.973 32.225
 Schlum. VES 31.00 36.00 33.00 34.00 16.84 0.0 0.00 -56.0 5.906 6.611
 Schlum. VES 31.00 34.00 32.00 33.00 15.83 0.0 0.00 -56.0 18.393 7.299
 Schlum. VES 32.00 43.00 37.00 38.00 20.25 0.0 0.00 -56.0 19.207 89.398
 Schlum. VES 32.00 41.00 36.00 37.00 20.09 0.0 0.00 -56.0 11.641 36.408
 Schlum. VES 32.00 39.00 35.00 36.00 18.11 0.0 0.00 -56.0 8.341 17.363
 Schlum. VES 32.00 37.00 34.00 35.00 16.16 0.0 0.00 -56.0 6.377 7.437
 Schlum. VES 32.00 35.00 33.00 34.00 15.73 0.0 0.00 -56.0 20.224 8.079
 Schlum. VES 33.00 42.00 37.00 38.00 19.73 0.0 0.00 -56.0 19.894 63.354
 Schlum. VES 33.00 40.00 36.00 37.00 18.79 0.0 0.00 -56.0 8.094 16.241
 Schlum. VES 33.00 38.00 35.00 36.00 16.72 0.0 0.00 -56.0 5.690 6.413
 Schlum. VES 33.00 36.00 34.00 35.00 15.36 0.0 0.00 -56.0 16.460 6.735
 Schlum. VES 34.00 43.00 38.00 39.00 20.28 0.0 0.00 -56.0 19.150 59.317
 Schlum. VES 34.00 41.00 37.00 38.00 18.45 0.0 0.00 -56.0 13.428 27.436
 Schlum. VES 34.00 39.00 36.00 37.00 17.14 0.0 0.00 -56.0 7.388 8.124
 Schlum. VES 34.00 37.00 35.00 36.00 15.71 0.0 0.00 -56.0 18.959 7.582
 Schlum. VES 35.00 42.00 38.00 39.00 19.32 0.0 0.00 -56.0 9.003 17.570
 Schlum. VES 35.00 40.00 37.00 38.00 16.61 0.0 0.00 -56.0 7.127 8.087
 Schlum. VES 35.00 38.00 36.00 37.00 15.72 0.0 0.00 -56.0 17.300 6.914
 Schlum. VES 36.00 43.00 39.00 40.00 19.31 0.0 0.00 -56.0 8.125 15.863
 Schlum. VES 36.00 41.00 38.00 39.00 17.57 0.0 0.00 -56.0 6.415 6.881
 Schlum. VES 36.00 39.00 37.00 38.00 15.57 0.0 0.00 -56.0 17.433 7.035
 Schlum. VES 37.00 42.00 39.00 40.00 18.21 1.0 0.00 -56.0 7.223 7.477
 Schlum. VES 37.00 40.00 38.00 39.00 16.12 0.0 0.00 -56.0 20.084 7.827
 Schlum. VES 38.00 43.00 40.00 41.00 18.86 2.0 0.00 -56.0 7.127 7.124
 Schlum. VES 38.00 41.00 39.00 40.00 16.11 0.0 0.00 -56.0 16.995 6.628
 Schlum. VES 39.00 42.00 40.00 41.00 17.25 0.0 0.00 -56.0 21.699 7.906
 Schlum. VES 40.00 43.00 41.00 42.00 21.54 0.0 0.00 -56.0 27.663 8.068
