 El-array Spa.1 Spa.2 Spa.3 Spa.4 Rho  Dev.  M   Sp   Vp   In  
 Schlum. VES 3.00 40.00 21.00 22.00 24.70 0.0 0.00 -56.0 19.995 869.727
 Schlum. VES 3.00 38.00 20.00 21.00 23.80 0.0 0.00 -56.0 3.872 156.397
 Schlum. VES 3.00 36.00 19.00 20.00 24.61 0.0 0.00 -56.0 24.357 845.674
 Schlum. VES 3.00 34.00 18.00 19.00 24.43 0.0 0.00 -56.0 6.638 204.881
 Schlum. VES 3.00 32.00 17.00 18.00 24.47 0.0 0.00 -56.0 35.432 955.289
 Schlum. VES 3.00 30.00 16.00 17.00 23.40 0.0 0.00 -56.0 4.203 102.682
 Schlum. VES 3.00 28.00 15.00 16.00 23.19 0.0 0.00 -56.0 26.499 559.978
 Schlum. VES 3.00 26.00 14.00 15.00 21.08 0.0 0.00 -56.0 2.925 57.527
 Schlum. VES 3.00 24.00 13.00 14.00 21.14 0.0 0.00 -56.0 24.242 396.265
 Schlum. VES 3.00 22.00 12.00 13.00 20.80 0.0 0.00 -56.0 7.470 101.554
 Schlum. VES 3.00 20.00 11.00 12.00 20.39 0.0 0.00 -56.0 44.994 499.118
 Schlum. VES 3.00 18.00 10.00 11.00 20.55 0.0 0.00 -56.0 8.322 71.233
 Schlum. VES 3.00 16.00 9.00 10.00 20.90 0.0 0.00 -56.0 50.869 321.187
 Schlum. VES 3.00 14.00 8.00 9.00 20.10 0.0 0.00 -56.0 12.976 60.841
 Schlum. VES 3.00 12.00 7.00 8.00 18.42 0.0 0.00 -56.0 13.282 45.303
 Schlum. VES 3.00 10.00 6.00 7.00 18.38 0.0 0.00 -56.0 12.379 25.393
 Schlum. VES 3.00 8.00 5.00 6.00 17.77 0.0 0.00 -56.0 6.720 7.129
 Schlum. VES 3.00 6.00 4.00 5.00 17.25 0.0 0.00 -56.0 20.123 7.327
 Schlum. VES 4.00 43.00 23.00 24.00 24.49 0.0 0.00 -56.0 10.560 514.779
 Schlum. VES 4.00 41.00 22.00 23.00 25.36 0.0 0.00 -56.0 20.103 851.698
 Schlum. VES 4.00 39.00 21.00 22.00 24.44 0.0 0.00 -56.0 4.768 187.556
 Schlum. VES 4.00 37.00 20.00 21.00 23.52 0.0 0.00 -56.0 23.975 870.988
 Schlum. VES 4.00 35.00 19.00 20.00 24.34 0.0 0.00 -56.0 7.585 234.976
 Schlum. VES 4.00 33.00 18.00 19.00 24.23 0.0 0.00 -56.0 7.013 190.943
 Schlum. VES 4.00 31.00 17.00 18.00 24.17 0.0 0.00 -56.0 4.527 107.087
 Schlum. VES 4.00 29.00 16.00 17.00 23.15 0.0 0.00 -56.0 40.461 856.686
 Schlum. VES 4.00 27.00 15.00 16.00 22.86 0.0 0.00 -56.0 12.569 227.981
 Schlum. VES 4.00 25.00 14.00 15.00 20.96 0.0 0.00 -56.0 16.352 269.631
 Schlum. VES 4.00 23.00 13.00 14.00 20.87 0.0 0.00 -56.0 17.357 235.103
 Schlum. VES 4.00 21.00 12.00 13.00 20.47 0.0 0.00 -56.0 21.343 235.841
 Schlum. VES 4.00 19.00 11.00 12.00 20.07 0.0 0.00 -56.0 22.450 196.782
 Schlum. VES 4.00 17.00 10.00 11.00 20.24 0.0 0.00 -56.0 12.836 83.680
 Schlum. VES 4.00 15.00 9.00 10.00 20.32 0.0 0.00 -56.0 20.854 96.736
