Injection timings : 
on	off	delay_ui	delay_m	interval_m	subinterval_m	per_meas	smpl_rate
400	400	300	10	50	5	12	1

Type	C1(x)	C1(y)	C1(z)	C2(x)	C2(y)	C2(z)	P1(x)	P1(y)	P1(z)	P2(x)	P2(y)	P2(z)	MP(x)	MP(y)	MP(z)	K	a	b	I	U	Rho	Sp	M	Z	P	D	M0	M1	M2	M3	M4	Channel	U/I gain	Filter (Fcut1)	Inj.U	Time
WA	165.00	0.00	0.00	225.00	0.00	0.00	185.00	0.00	0.00	205.00	0.00	0.00	195.00	0.00	0.00	125.66	20.00	0.00	9.69	14.60	189.44	-8.12	15.01	197.15	127.49	4.13	15.01	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:16:17
WA	170.00	0.00	0.00	230.00	0.00	0.00	190.00	0.00	0.00	210.00	0.00	0.00	200.00	0.00	0.00	125.66	20.00	0.00	10.56	24.46	291.22	-30.49	25.19	292.35	33.35	2.42	25.19	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:16:21
WA	175.00	0.00	0.00	235.00	0.00	0.00	195.00	0.00	0.00	215.00	0.00	0.00	205.00	0.00	0.00	125.66	20.00	0.00	9.82	26.29	336.54	19.38	35.02	329.59	-61.45	2.25	35.02	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:16:24
WA	180.00	0.00	0.00	240.00	0.00	0.00	200.00	0.00	0.00	220.00	0.00	0.00	210.00	0.00	0.00	125.66	20.00	0.00	7.51	15.43	258.48	24.10	19.61	259.59	55.89	3.48	19.61	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:16:28
WA	185.00	0.00	0.00	245.00	0.00	0.00	205.00	0.00	0.00	225.00	0.00	0.00	215.00	0.00	0.00	125.66	20.00	0.00	13.77	10.73	97.92	11.44	-11.78	100.57	258.30	5.22	-11.78	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:16:31
WA	190.00	0.00	0.00	250.00	0.00	0.00	210.00	0.00	0.00	230.00	0.00	0.00	220.00	0.00	0.00	125.66	20.00	0.00	10.59	8.14	96.52	40.47	2.91	97.13	157.66	6.67	2.91	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:16:35
WA	195.00	0.00	0.00	255.00	0.00	0.00	215.00	0.00	0.00	235.00	0.00	0.00	225.00	0.00	0.00	125.66	20.00	0.00	8.44	5.77	86.04	73.85	0.77	82.71	404.43	8.57	17.66	-16.89	0.00	0.00	0.00	3	10:10	2	120	04.03.2008 20:57:42
WA	200.00	0.00	0.00	260.00	0.00	0.00	220.00	0.00	0.00	240.00	0.00	0.00	230.00	0.00	0.00	125.66	20.00	0.00	9.95	9.36	118.23	5.86	42.45	116.62	-64.83	6.32	42.45	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:16:42
WA	205.00	0.00	0.00	265.00	0.00	0.00	225.00	0.00	0.00	245.00	0.00	0.00	235.00	0.00	0.00	125.66	20.00	0.00	7.40	11.67	198.38	35.78	43.59	199.62	-73.75	4.80	43.59	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:16:45
WA	210.00	0.00	0.00	270.00	0.00	0.00	230.00	0.00	0.00	250.00	0.00	0.00	240.00	0.00	0.00	125.66	20.00	0.00	8.57	21.02	308.27	-3.57	29.14	308.04	5.87	2.79	29.14	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:16:49
WA	215.00	0.00	0.00	275.00	0.00	0.00	235.00	0.00	0.00	255.00	0.00	0.00	245.00	0.00	0.00	125.66	20.00	0.00	11.59	32.39	351.25	-73.82	49.89	350.42	-64.51	1.76	25.12	24.76	0.00	0.00	0.00	3	10:10	2	120	04.03.2008 21:13:12
WA	220.00	0.00	0.00	280.00	0.00	0.00	240.00	0.00	0.00	260.00	0.00	0.00	250.00	0.00	0.00	125.66	20.00	0.00	13.58	32.86	304.25	8.14	1.53	314.50	210.69	2.12	1.53	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:16:56
WA	225.00	0.00	0.00	285.00	0.00	0.00	245.00	0.00	0.00	265.00	0.00	0.00	255.00	0.00	0.00	125.66	20.00	0.00	30.98	31.71	128.64	10.15	52.97	135.01	-33.17	1.90	9.90	10.16	10.63	11.02	11.27	3	10:10	2	300	05.03.2008 16:51:49
WA	230.00	0.00	0.00	290.00	0.00	0.00	250.00	0.00	0.00	270.00	0.00	0.00	260.00	0.00	0.00	125.66	20.00	0.00	9.33	8.86	119.49	-31.21	28.46	120.30	59.67	1.87	28.46	0.00	0.00	0.00	0.00	3	100:10	3	100	03.03.2008 19:17:03
WA	235.00	0.00	0.00	295.00	0.00	0.00	255.00	0.00	0.00	275.00	0.00	0.00	265.00	0.00	0.00	125.66	20.00	0.00	9.49	9.20	121.81	21.52	-65.16	140.00	577.41	6.55	-65.16	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:17:06
WA	240.00	0.00	0.00	300.00	0.00	0.00	260.00	0.00	0.00	280.00	0.00	0.00	270.00	0.00	0.00	125.66	20.00	0.00	5.99	5.65	118.83	-106.02	-30.55	121.66	406.97	9.08	6.14	-2.45	-11.45	-13.08	-9.70	3	10:10	3	120	05.03.2008 16:39:37
WA	245.00	0.00	0.00	305.00	0.00	0.00	265.00	0.00	0.00	285.00	0.00	0.00	275.00	0.00	0.00	125.66	20.00	0.00	11.88	12.53	132.46	32.12	-40.42	148.98	444.42	4.62	-40.42	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:17:14
WA	250.00	0.00	0.00	310.00	0.00	0.00	270.00	0.00	0.00	290.00	0.00	0.00	280.00	0.00	0.00	125.66	20.00	0.00	8.78	8.69	124.28	5.99	11.23	127.83	150.38	7.24	11.23	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:17:18
WA	255.00	0.00	0.00	315.00	0.00	0.00	275.00	0.00	0.00	295.00	0.00	0.00	285.00	0.00	0.00	125.66	20.00	0.00	6.58	6.77	129.36	15.49	-28.09	140.44	408.40	8.62	-28.09	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:17:22
WA	260.00	0.00	0.00	320.00	0.00	0.00	280.00	0.00	0.00	300.00	0.00	0.00	290.00	0.00	0.00	125.66	20.00	0.00	19.84	21.78	137.90	-25.88	-29.61	163.54	533.67	7.10	6.34	-1.28	-9.96	-13.30	-11.40	3	10:10	3	100	05.03.2008 20:40:38
WA	265.00	0.00	0.00	325.00	0.00	0.00	285.00	0.00	0.00	305.00	0.00	0.00	295.00	0.00	0.00	125.66	20.00	0.00	14.88	14.25	120.31	12.63	40.85	122.35	-12.08	4.45	10.34	11.40	10.28	6.57	2.26	3	10:10	3	100	05.03.2008 20:40:40
WA	270.00	0.00	0.00	330.00	0.00	0.00	290.00	0.00	0.00	310.00	0.00	0.00	300.00	0.00	0.00	125.66	20.00	0.00	14.67	15.82	135.45	71.54	-15.97	155.62	440.84	6.33	6.90	0.30	-6.20	-8.88	-8.09	3	10:10	3	100	05.03.2008 20:40:42
WA	275.00	0.00	0.00	335.00	0.00	0.00	295.00	0.00	0.00	315.00	0.00	0.00	305.00	0.00	0.00	125.66	20.00	0.00	16.39	17.18	131.71	-21.38	-55.90	154.62	609.78	6.51	4.00	-8.02	-17.88	-19.44	-14.56	3	10:10	3	100	05.03.2008 20:40:45
WA	280.00	0.00	0.00	340.00	0.00	0.00	300.00	0.00	0.00	320.00	0.00	0.00	310.00	0.00	0.00	125.66	20.00	0.00	26.34	22.32	106.50	161.15	45.63	111.75	48.18	4.46	10.29	11.81	11.62	8.27	3.64	3	10:10	3	100	05.03.2008 20:40:47
WA	285.00	0.00	0.00	345.00	0.00	0.00	305.00	0.00	0.00	325.00	0.00	0.00	315.00	0.00	0.00	125.66	20.00	0.00	39.24	37.87	121.27	77.54	-7.26	121.68	305.32	3.84	7.56	2.19	-3.82	-6.93	-6.25	3	10:10	3	100	05.03.2008 20:40:49
WA	290.00	0.00	0.00	350.00	0.00	0.00	310.00	0.00	0.00	330.00	0.00	0.00	320.00	0.00	0.00	125.66	20.00	0.00	29.82	31.43	132.47	-24.81	33.82	136.18	86.32	3.42	9.85	9.92	8.10	4.66	1.29	3	10:10	3	100	05.03.2008 20:40:52
WA	295.00	0.00	0.00	355.00	0.00	0.00	315.00	0.00	0.00	335.00	0.00	0.00	325.00	0.00	0.00	125.66	20.00	0.00	31.41	31.57	126.30	114.86	41.54	132.67	65.03	3.92	10.51	11.82	10.51	6.60	2.10	3	10:10	3	100	05.03.2008 20:40:54
WA	300.00	0.00	0.00	360.00	0.00	0.00	320.00	0.00	0.00	340.00	0.00	0.00	330.00	0.00	0.00	125.66	20.00	0.00	13.13	13.37	127.92	14.24	-28.28	157.53	574.92	8.15	6.05	-1.24	-8.94	-12.57	-11.57	3	10:10	3	100	05.03.2008 20:40:56
WA	305.00	0.00	0.00	365.00	0.00	0.00	325.00	0.00	0.00	345.00	0.00	0.00	335.00	0.00	0.00	125.66	20.00	0.00	28.93	23.17	100.67	-20.89	39.32	105.40	67.17	3.70	10.29	11.08	9.67	6.12	2.16	3	10:10	3	100	05.03.2008 20:40:59
WA	310.00	0.00	0.00	370.00	0.00	0.00	330.00	0.00	0.00	350.00	0.00	0.00	340.00	0.00	0.00	125.66	20.00	0.00	28.57	27.45	120.70	36.10	-46.58	137.38	569.66	4.86	6.05	-4.01	-14.53	-18.57	-15.53	3	10:10	3	100	05.03.2008 20:41:01
WA	315.00	0.00	0.00	375.00	0.00	0.00	335.00	0.00	0.00	355.00	0.00	0.00	345.00	0.00	0.00	125.66	20.00	0.00	17.88	15.03	105.66	-31.15	-21.72	106.51	376.48	4.83	6.33	-1.27	-8.27	-10.42	-8.09	3	10:10	3	100	05.03.2008 20:41:04
WA	320.00	0.00	0.00	380.00	0.00	0.00	340.00	0.00	0.00	360.00	0.00	0.00	350.00	0.00	0.00	125.66	20.00	0.00	18.49	15.73	106.88	-110.17	19.41	115.82	337.18	8.28	9.07	8.32	5.22	0.43	-3.62	3	10:10	3	100	05.03.2008 20:41:06
WA	325.00	0.00	0.00	385.00	0.00	0.00	345.00	0.00	0.00	365.00	0.00	0.00	355.00	0.00	0.00	125.66	20.00	0.00	18.22	12.94	89.23	-13.73	39.41	96.85	238.98	4.46	9.59	9.45	8.68	7.01	4.68	3	10:10	2	100	05.03.2008 20:41:41
WA	330.00	0.00	0.00	390.00	0.00	0.00	350.00	0.00	0.00	370.00	0.00	0.00	360.00	0.00	0.00	125.66	20.00	0.00	17.04	11.58	85.44	50.12	38.46	96.00	238.04	4.81	9.89	9.30	8.03	6.60	4.64	3	10:10	2	100	05.03.2008 20:41:44
WA	335.00	0.00	0.00	395.00	0.00	0.00	355.00	0.00	0.00	375.00	0.00	0.00	365.00	0.00	0.00	125.66	20.00	0.00	17.88	9.04	63.50	-0.27	74.76	85.12	177.23	6.29	10.30	11.94	14.88	17.90	19.74	3	10:10	2	100	05.03.2008 20:41:48
WA	340.00	0.00	0.00	400.00	0.00	0.00	360.00	0.00	0.00	380.00	0.00	0.00	370.00	0.00	0.00	125.66	20.00	0.00	19.30	8.20	53.35	21.74	17.15	92.96	680.67	7.48	9.06	8.19	5.33	0.54	-5.97	3	10:10	2	100	05.03.2008 20:41:52
WA	345.00	0.00	0.00	405.00	0.00	0.00	365.00	0.00	0.00	385.00	0.00	0.00	375.00	0.00	0.00	125.66	20.00	0.00	27.35	8.51	39.08	-8.02	27.91	54.92	573.00	7.28	9.69	8.62	6.30	3.49	-0.18	3	10:10	2	100	05.03.2008 20:41:56
WA	350.00	0.00	0.00	410.00	0.00	0.00	370.00	0.00	0.00	390.00	0.00	0.00	380.00	0.00	0.00	125.66	20.00	0.00	27.92	8.88	39.95	-116.77	2.46	54.18	768.05	6.57	9.30	6.84	2.20	-4.71	-11.18	3	10:10	2	100	05.03.2008 20:42:01
WA	355.00	0.00	0.00	415.00	0.00	0.00	375.00	0.00	0.00	395.00	0.00	0.00	385.00	0.00	0.00	125.66	20.00	0.00	31.66	15.76	62.54	-51.87	32.23	71.67	364.92	3.69	9.55	8.99	7.28	4.71	1.70	3	10:10	2	100	05.03.2008 20:42:05
WA	360.00	0.00	0.00	420.00	0.00	0.00	380.00	0.00	0.00	400.00	0.00	0.00	390.00	0.00	0.00	125.66	20.00	0.00	16.71	10.76	80.92	-43.20	24.16	94.91	503.61	5.71	9.43	8.58	6.03	2.29	-2.16	3	10:10	2	100	05.03.2008 20:42:09
WA	365.00	0.00	0.00	425.00	0.00	0.00	385.00	0.00	0.00	405.00	0.00	0.00	395.00	0.00	0.00	125.66	20.00	0.00	46.34	30.51	82.73	-42.06	36.84	85.95	225.40	2.17	9.78	9.24	8.04	6.15	3.64	3	10:10	2	100	05.03.2008 21:00:40
WA	370.00	0.00	0.00	430.00	0.00	0.00	390.00	0.00	0.00	410.00	0.00	0.00	400.00	0.00	0.00	125.66	20.00	0.00	90.86	44.46	61.49	-73.59	44.62	62.05	119.85	1.58	9.87	9.74	9.31	8.45	7.25	3	10:10	2	100	05.03.2008 20:42:13
WA	375.00	0.00	0.00	435.00	0.00	0.00	395.00	0.00	0.00	415.00	0.00	0.00	405.00	0.00	0.00	125.66	20.00	0.00	42.37	19.88	58.97	71.64	31.68	64.02	331.65	3.05	9.65	8.97	7.23	4.49	1.34	3	10:10	2	100	05.03.2008 21:00:55
WA	380.00	0.00	0.00	440.00	0.00	0.00	400.00	0.00	0.00	420.00	0.00	0.00	410.00	0.00	0.00	125.66	20.00	0.00	44.59	22.60	63.70	14.07	51.96	67.05	-162.18	2.48	11.21	13.05	12.63	9.57	5.50	3	10:10	3	100	05.03.2008 23:12:18
WA	385.00	0.00	0.00	445.00	0.00	0.00	405.00	0.00	0.00	425.00	0.00	0.00	415.00	0.00	0.00	125.66	20.00	0.00	30.72	14.82	60.61	-18.30	39.20	62.57	-98.98	3.62	10.36	10.30	8.74	6.15	3.65	3	10:10	3	100	05.03.2008 23:12:20
WA	390.00	0.00	0.00	450.00	0.00	0.00	410.00	0.00	0.00	430.00	0.00	0.00	420.00	0.00	0.00	125.66	20.00	0.00	23.93	10.12	53.14	-52.90	-1.30	54.26	187.71	5.70	7.85	2.18	-3.59	-4.80	-2.94	3	10:10	3	100	05.03.2008 23:12:22
WA	395.00	0.00	0.00	455.00	0.00	0.00	415.00	0.00	0.00	435.00	0.00	0.00	425.00	0.00	0.00	125.66	20.00	0.00	27.05	11.82	54.90	-31.79	62.97	58.53	-325.05	4.75	10.41	12.96	14.77	14.15	10.69	3	10:10	3	100	05.03.2008 23:12:24
WA	400.00	0.00	0.00	460.00	0.00	0.00	420.00	0.00	0.00	440.00	0.00	0.00	430.00	0.00	0.00	125.66	20.00	0.00	6.41	6.23	122.25	139.52	30.60	143.74	243.54	6.26	9.40	8.64	6.85	4.10	1.61	3	10:10	2	100	05.03.2008 23:15:24
WA	405.00	0.00	0.00	465.00	0.00	0.00	425.00	0.00	0.00	445.00	0.00	0.00	435.00	0.00	0.00	125.66	20.00	0.00	14.23	13.95	123.24	-48.01	-57.37	148.69	645.48	4.38	4.91	-7.48	-18.81	-20.88	-15.10	3	10:10	3	100	05.03.2008 23:12:29
WA	410.00	0.00	0.00	470.00	0.00	0.00	430.00	0.00	0.00	450.00	0.00	0.00	440.00	0.00	0.00	125.66	20.00	0.00	10.74	9.60	112.39	-49.12	15.77	116.76	201.55	6.01	8.99	6.17	2.49	-0.28	-1.59	3	10:10	3	100	05.03.2008 23:12:31
WA	415.00	0.00	0.00	475.00	0.00	0.00	435.00	0.00	0.00	455.00	0.00	0.00	445.00	0.00	0.00	125.66	20.00	0.00	7.25	6.35	110.06	-61.93	-32.24	137.06	585.55	9.22	6.40	-1.73	-10.76	-14.45	-11.71	3	10:10	3	100	05.03.2008 23:12:33
WA	0.00	0.00	0.00	75.00	0.00	0.00	25.00	0.00	0.00	50.00	0.00	0.00	37.50	0.00	0.00	157.08	25.00	0.00	11.06	9.28	131.73	2.04	20.45	132.05	65.24	6.48	20.45	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:17:26
WA	5.00	0.00	0.00	80.00	0.00	0.00	30.00	0.00	0.00	55.00	0.00	0.00	42.50	0.00	0.00	157.08	25.00	0.00	12.56	9.68	121.05	-29.25	16.57	121.94	78.09	1.73	16.57	0.00	0.00	0.00	0.00	3	100:10	3	100	03.03.2008 19:17:30
WA	10.00	0.00	0.00	85.00	0.00	0.00	35.00	0.00	0.00	60.00	0.00	0.00	47.50	0.00	0.00	157.08	25.00	0.00	10.48	8.21	123.04	-160.14	40.73	120.52	-94.59	7.19	40.73	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:17:33
WA	15.00	0.00	0.00	90.00	0.00	0.00	40.00	0.00	0.00	65.00	0.00	0.00	52.50	0.00	0.00	157.08	25.00	0.00	11.25	8.62	120.36	49.54	21.22	121.33	38.35	6.42	21.22	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:17:37
WA	20.00	0.00	0.00	95.00	0.00	0.00	45.00	0.00	0.00	70.00	0.00	0.00	57.50	0.00	0.00	157.08	25.00	0.00	12.90	10.28	125.22	-131.86	18.90	127.50	88.98	5.58	18.90	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:17:41
WA	25.00	0.00	0.00	100.00	0.00	0.00	50.00	0.00	0.00	75.00	0.00	0.00	62.50	0.00	0.00	157.08	25.00	0.00	10.30	7.73	117.74	6.06	-3.88	113.97	184.23	7.30	-3.88	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:17:44
WA	30.00	0.00	0.00	105.00	0.00	0.00	55.00	0.00	0.00	80.00	0.00	0.00	67.50	0.00	0.00	157.08	25.00	0.00	10.59	8.61	127.70	0.92	28.95	127.27	15.64	6.73	28.95	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:17:48
WA	35.00	0.00	0.00	110.00	0.00	0.00	60.00	0.00	0.00	85.00	0.00	0.00	72.50	0.00	0.00	157.08	25.00	0.00	11.40	9.27	127.87	-29.05	20.92	128.37	86.91	1.74	20.92	0.00	0.00	0.00	0.00	3	100:10	3	100	03.03.2008 19:17:51
WA	40.00	0.00	0.00	115.00	0.00	0.00	65.00	0.00	0.00	90.00	0.00	0.00	77.50	0.00	0.00	157.08	25.00	0.00	28.92	22.00	119.51	-183.57	44.34	123.50	145.37	2.45	9.87	9.69	9.27	8.37	7.15	3	10:10	2	300	05.03.2008 16:51:55
WA	45.00	0.00	0.00	120.00	0.00	0.00	70.00	0.00	0.00	95.00	0.00	0.00	82.50	0.00	0.00	157.08	25.00	0.00	9.28	7.72	130.74	-33.10	11.22	134.58	183.94	2.38	11.22	0.00	0.00	0.00	0.00	3	100:10	3	100	03.03.2008 19:17:58
WA	50.00	0.00	0.00	125.00	0.00	0.00	75.00	0.00	0.00	100.00	0.00	0.00	87.50	0.00	0.00	157.08	25.00	0.00	12.54	10.25	128.29	13.10	36.12	125.68	-46.29	5.47	36.12	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:18:02
WA	55.00	0.00	0.00	130.00	0.00	0.00	80.00	0.00	0.00	105.00	0.00	0.00	92.50	0.00	0.00	157.08	25.00	0.00	11.03	9.11	129.75	-6.86	48.28	125.50	-132.95	6.44	48.28	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:18:05
WA	60.00	0.00	0.00	135.00	0.00	0.00	85.00	0.00	0.00	110.00	0.00	0.00	97.50	0.00	0.00	157.08	25.00	0.00	11.01	8.61	122.75	6.31	14.95	121.97	98.55	6.70	14.95	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:18:09
WA	65.00	0.00	0.00	140.00	0.00	0.00	90.00	0.00	0.00	115.00	0.00	0.00	102.50	0.00	0.00	157.08	25.00	0.00	10.47	8.56	128.29	22.42	-20.05	133.52	315.10	6.43	-20.05	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:18:13
WA	70.00	0.00	0.00	145.00	0.00	0.00	95.00	0.00	0.00	120.00	0.00	0.00	107.50	0.00	0.00	157.08	25.00	0.00	11.80	9.31	123.92	18.40	17.20	125.60	103.60	6.04	17.20	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:18:17
WA	75.00	0.00	0.00	150.00	0.00	0.00	100.00	0.00	0.00	125.00	0.00	0.00	112.50	0.00	0.00	157.08	25.00	0.00	12.36	9.28	117.93	38.66	14.14	117.40	103.94	6.24	14.14	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:18:20
WA	80.00	0.00	0.00	155.00	0.00	0.00	105.00	0.00	0.00	130.00	0.00	0.00	117.50	0.00	0.00	157.08	25.00	0.00	12.54	9.14	114.48	78.52	8.57	114.16	145.51	6.49	8.57	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:18:24
WA	85.00	0.00	0.00	160.00	0.00	0.00	110.00	0.00	0.00	135.00	0.00	0.00	122.50	0.00	0.00	157.08	25.00	0.00	10.99	7.84	112.00	28.76	16.04	113.62	109.49	7.42	16.04	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:18:27
WA	90.00	0.00	0.00	165.00	0.00	0.00	115.00	0.00	0.00	140.00	0.00	0.00	127.50	0.00	0.00	157.08	25.00	0.00	10.27	7.36	112.42	38.24	21.98	112.93	89.91	8.12	21.98	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:18:31
WA	95.00	0.00	0.00	170.00	0.00	0.00	120.00	0.00	0.00	145.00	0.00	0.00	132.50	0.00	0.00	157.08	25.00	0.00	12.86	8.32	101.58	0.49	21.48	101.68	61.19	8.08	21.48	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:18:35
WA	100.00	0.00	0.00	175.00	0.00	0.00	125.00	0.00	0.00	150.00	0.00	0.00	137.50	0.00	0.00	157.08	25.00	0.00	10.91	7.15	103.03	-33.30	26.31	104.60	63.28	1.98	26.31	0.00	0.00	0.00	0.00	3	100:10	3	100	03.03.2008 19:18:38
WA	105.00	0.00	0.00	180.00	0.00	0.00	130.00	0.00	0.00	155.00	0.00	0.00	142.50	0.00	0.00	157.08	25.00	0.00	11.29	7.79	108.32	-1.97	20.74	104.90	38.78	7.77	20.74	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:18:42
WA	110.00	0.00	0.00	185.00	0.00	0.00	135.00	0.00	0.00	160.00	0.00	0.00	147.50	0.00	0.00	157.08	25.00	0.00	18.80	13.23	110.53	109.87	12.96	112.24	119.52	4.30	8.57	5.51	1.62	-1.10	-1.65	3	10:10	3	120	05.03.2008 16:39:44
WA	115.00	0.00	0.00	190.00	0.00	0.00	140.00	0.00	0.00	165.00	0.00	0.00	152.50	0.00	0.00	157.08	25.00	0.00	11.42	7.59	104.32	27.66	8.43	107.90	185.29	7.80	8.43	0.00	0.00	0.00	0.00	3	10:10	3	100	03.03.2008 19:18:49
WA	120.00	0.00	0.00	195.00	0.00	0.00	145.00	0.00	0.00	170.00	0.00	0.00	157.50	0.00	0.00	157.08	25.00	0.00	16.70	11.11	104.42	70.65	24.59	105.62	57.44	5.42	24.59	0.00	0.00	0.00	0.00	3	10:10	3	140	03.03.2008 19:19:22
WA	125.00	0.00	0.00	200.00	0.00	0.00	150.00	0.00	0.00	175.00	0.00	0.00	162.50	0.00	0.00	157.08	25.00	0.00	15.75	9.83	98.01	59.42	23.84	99.84	63.26	5.72	23.84	0.00	0.00	0.00	0.00	3	10:10	3	140	03.03.2008 19:19:26
WA	130.00	0.00	0.00	205.00	0.00	0.00	155.00	0.00	0.00	180.00	0.00	0.00	167.50	0.00	0.00	157.08	25.00	0.00	19.79	11.64	92.36	-17.13	55.28	97.47	-116.57	5.32	55.28	0.00	0.00	0.00	0.00	3	10:10	3	140	03.03.2008 19:19:29
WA	135.00	0.00	0.00	210.00	0.00	0.00	160.00	0.00	0.00	185.00	0.00	0.00	172.50	0.00	0.00	157.08	25.00	0.00	15.74	9.85	98.27	-0.17	12.44	102.15	139.63	6.02	12.44	0.00	0.00	0.00	0.00	3	10:10	3	140	03.03.2008 19:19:33
WA	140.00	0.00	0.00	215.00	0.00	0.00	165.00	0.00	0.00	190.00	0.00	0.00	177.50	0.00	0.00	157.08	25.00	0.00	16.84	11.29	105.28	-12.03	16.31	106.54	104.19	5.31	16.31	0.00	0.00	0.00	0.00	3	10:10	3	140	03.03.2008 19:19:36
WA	145.00	0.00	0.00	220.00	0.00	0.00	170.00	0.00	0.00	195.00	0.00	0.00	182.50	0.00	0.00	157.08	25.00	0.00	12.87	9.07	110.69	88.68	-41.53	121.06	464.01	6.20	4.87	-5.36	-14.33	-15.56	-11.15	3	10:10	3	120	05.03.2008 16:39:47
WA	150.00	0.00	0.00	225.00	0.00	0.00	175.00	0.00	0.00	200.00	0.00	0.00	187.50	0.00	0.00	157.08	25.00	0.00	10.18	8.56	132.05	-109.91	1.22	138.80	265.18	6.71	7.81	3.82	-1.58	-4.54	-4.28	3	10:10	3	120	05.03.2008 16:39:51
WA	155.00	0.00	0.00	230.00	0.00	0.00	180.00	0.00	0.00	205.00	0.00	0.00	192.50	0.00	0.00	157.08	25.00	0.00	8.93	11.34	199.71	26.24	57.21	220.61	-39.62	4.87	9.89	10.53	11.42	12.37	13.01	3	10:10	2	300	05.03.2008 16:52:01
WA	160.00	0.00	0.00	235.00	0.00	0.00	185.00	0.00	0.00	210.00	0.00	0.00	197.50	0.00	0.00	157.08	25.00	0.00	13.70	16.47	188.93	13.41	9.70	209.17	190.78	8.87	9.70	0.00	0.00	0.00	0.00	3	10:10	3	140	03.03.2008 19:22:05
WA	165.00	0.00	0.00	240.00	0.00	0.00	190.00	0.00	0.00	215.00	0.00	0.00	202.50	0.00	0.00	157.08	25.00	0.00	10.25	12.38	189.76	-14.31	18.86	196.30	95.83	4.78	18.86	0.00	0.00	0.00	0.00	3	10:10	3	140	03.03.2008 19:22:08
WA	170.00	0.00	0.00	245.00	0.00	0.00	195.00	0.00	0.00	220.00	0.00	0.00	207.50	0.00	0.00	157.08	25.00	0.00	15.33	11.15	114.19	23.09	33.25	108.80	-52.01	5.27	33.25	0.00	0.00	0.00	0.00	3	10:10	3	140	03.03.2008 19:22:12
WA	175.00	0.00	0.00	250.00	0.00	0.00	200.00	0.00	0.00	225.00	0.00	0.00	212.50	0.00	0.00	157.08	25.00	0.00	14.36	9.60	104.95	6.26	6.51	108.22	203.79	6.45	6.51	0.00	0.00	0.00	0.00	3	10:10	3	140	03.03.2008 19:22:15
WA	180.00	0.00	0.00	255.00	0.00	0.00	205.00	0.00	0.00	230.00	0.00	0.00	217.50	0.00	0.00	157.08	25.00	0.00	26.90	14.30	83.48	-142.40	26.96	87.03	330.27	2.87	9.77	8.64	6.30	3.01	-0.75	3	10:10	2	400	05.03.2008 16:58:52
WA	185.00	0.00	0.00	260.00	0.00	0.00	210.00	0.00	0.00	235.00	0.00	0.00	222.50	0.00	0.00	157.08	25.00	0.00	20.96	10.10	75.64	25.96	-35.86	80.89	418.31	5.85	-35.86	0.00	0.00	0.00	0.00	3	10:10	3	140	03.03.2008 19:22:22
WA	190.00	0.00	0.00	265.00	0.00	0.00	215.00	0.00	0.00	240.00	0.00	0.00	227.50	0.00	0.00	157.08	25.00	0.00	21.38	10.92	80.22	-308.85	-6.97	103.78	779.59	4.95	9.23	6.70	0.87	-7.41	-16.35	3	10:10	2	300	05.03.2008 16:52:12
