Time	MeasID	DPID	Channel	A(x)	A(y)	A(z)	B(x)	B(y)	B(z)	M(x)	M(y)	M(z)	N(x)	N(y)	N(z)	F(x)	F(y)	F(z)	Note	I(mA)	Uout(V)	U(V)	SP(V)	R(O)	Var(%)	Rho-a(Om)	Cycles	IP Delay Window(mV/V)	IP sum window 1-1	Pint(V)	Pext(V)	T int(°C)	T log(°C)	Latitude	Longitude	
2017-07-04 16:48:50	72	1968	7	4	0	0	8.5	0	0	7	0	0	7.5	0	0	6.75	0	0.509		45.59	179.953	0.549602	0	12.0553	0.0307854	198.832	2	0	15.016763476235	12.8947	12.6642	44.1454	0	52.4048	9.82071	
2017-07-04 16:46:39	58	1969	3	15	0	0	19.5	0	0	17.5	0	0	18	0	0	17.5	0	0.747		87.1749	180.013	0.818561	0	9.38987	0.0298994	252.85	2	0	17.1736257620528	12.8947	12.6642	44.2753	0	52.4048	9.82074	
2017-07-04 16:48:50	72	1970	1	4	0	0	8.5	0	0	4.5	0	0	5	0	0	5.5	0	0.268		45.59	179.953	2.06799	0	45.3605	0.0628117	275.181	2	0	21.092160950887	12.8947	12.6642	44.1454	0	52.4048	9.82071	
2017-07-04 16:42:57	32	1971	7	3.5	0	0	12.5	0	0	10.5	0	0	11.5	0	0	9.5	0	0.536		46.2648	179.656	0.788362	0	17.0402	0.0369312	206.75	2	0	19.2602782960717	12.8947	12.6731	44.925	0	52.4047	9.82069	
2017-07-04 16:46:13	55	1972	1	1.5	0	0	6	0	0	2	0	0	2.5	0	0	3	0	0.268		44.4568	179.395	2.62605	0	59.0697	0.0275424	358.348	2	0	18.6162342358735	12.8947	12.6554	44.4052	0	52.4048	9.82076	
2017-07-04 16:46:13	55	1973	2	1.5	0	0	6	0	0	3	0	0	3.5	0	0	3.5	0	0.747		44.4568	179.395	0.527629	0	11.8684	0.0239537	319.591	2	0	15.9668386465927	12.8947	12.6554	44.4052	0	52.4048	9.82076	
2017-07-04 16:46:57	60	1974	4	6.5	0	0	11	0	0	8.5	0	0	9	0	0	8.75	0	0.853		31.058	178.735	0.235932	0	7.59648	0.0310013	238.65	2	0	15.9552710606209	12.8947	12.6642	44.2753	0	52.4048	9.82073	
2017-07-04 16:46:21	56	1975	8	6	0	0	10.5	0	0	9.5	0	0	10	0	0	9	0	0.268		36.5285	179.508	1.2314	0	33.7107	0.043955	204.507	2	0	20.4665780633383	12.8947	12.6642	44.2753	0	52.4048	9.82079	
2017-07-04 16:48:31	70	1976	7	8	0	0	12.5	0	0	11	0	0	11.5	0	0	10.75	0	0.509		53.8708	180.029	0.707613	0	13.1354	0.0381061	216.646	2	0	19.0799370009699	12.8947	12.6642	44.1454	0	52.4048	9.8207	
2017-07-04 16:48:31	70	1977	1	8	0	0	12.5	0	0	8.5	0	0	9	0	0	9.5	0	0.268		53.8708	180.029	1.8152	0	33.6955	0.033308	204.415	2	0	17.8721459220989	12.8947	12.6642	44.1454	0	52.4048	9.8207	
2017-07-04 16:46:31	57	1978	1	10.5	0	0	15	0	0	11	0	0	11.5	0	0	12	0	0.268		46.0751	180.081	1.68459	0	36.5618	0.0478303	221.803	2	0	21.1226445681564	12.8947	12.6642	44.2753	0	52.4048	9.82076	
2017-07-04 16:46:31	57	1979	2	10.5	0	0	15	0	0	12	0	0	12.5	0	0	12.5	0	0.747		46.0751	180.081	0.304543	0	6.60972	0.0307132	177.986	2	0	16.2705281620156	12.8947	12.6642	44.2753	0	52.4048	9.82076	
2017-07-04 16:46:31	57	1980	6	10.5	0	0	15	0	0	12.5	0	0	13	0	0	12.75	0	0.853		46.0751	180.081	0.306178	0	6.64519	0.0371893	208.765	2	0	17.6251135049124	12.8947	12.6642	44.2753	0	52.4048	9.82076	
2017-07-04 16:46:31	57	1981	3	10.5	0	0	15	0	0	13	0	0	13.5	0	0	13	0	0.747		46.0751	180.081	0.416246	0	9.03408	0.0297665	243.269	2	0	15.6319777103245	12.8947	12.6642	44.2753	0	52.4048	9.82076	
2017-07-04 16:48:50	72	1982	3	4	0	0	8.5	0	0	6.5	0	0	7	0	0	6.5	0	0.747		45.59	179.953	0.404679	0	8.87647	0.0360048	239.025	2	0	16.0020953458429	12.8947	12.6642	44.1454	0	52.4048	9.82071	
2017-07-04 16:46:39	58	1983	6	15	0	0	19.5	0	0	17	0	0	17.5	0	0	17.25	0	0.853		87.1749	180.013	0.693455	0	7.95476	0.0338711	249.906	2	0	17.4548653683941	12.8947	12.6642	44.2753	0	52.4048	9.82074	
2017-07-04 16:45:48	52	1984	1	5.5	0	0	10	0	0	6	0	0	6.5	0	0	7	0	0.268		36.2297	180.048	1.60245	0	44.2302	0.0566557	268.324	2	0	22.2941190612819	12.8947	12.6642	44.4052	0	52.4048	9.82071	
2017-07-04 16:46:39	58	1985	4	15	0	0	19.5	0	0	18.5	0	0	19	0	0	18	0	0.268		87.1749	180.013	3.24722	0	37.2495	0.0276463	225.975	2	0	18.967852024168	12.8947	12.6642	44.2753	0	52.4048	9.82074	
2017-07-04 16:41:06	18	1986	1	6	0	0	19.5	0	0	7.5	0	0	9	0	0	10.5	0	0.803		58.1855	178.693	0.79557	0	13.673	0.0273389	248.843	2	0	13.564978006071	12.8947	12.6642	45.5748	0	52.4048	9.82068	
2017-07-04 16:46:48	59	1987	6	2	0	0	6.5	0	0	4	0	0	4.5	0	0	4.25	0	0.853		37.4924	179.877	0.331225	0	8.83445	0.0309397	277.542	2	0	13.7907469447974	12.8947	12.6642	44.2753	0	52.4048	9.82075	
2017-07-04 16:46:57	60	1988	1	6.5	0	0	11	0	0	7	0	0	7.5	0	0	8	0	0.268		31.058	178.735	1.20486	0	38.7938	0.0398547	235.343	2	0	18.9421024670661	12.8947	12.6642	44.2753	0	52.4048	9.82073	
